UserID,List Recommendation
1,"['Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Hanah Hotel Dalat', 'Torino Hotel Dalat', 'LE PHUONG Dalat', 'Thanh Hùng Dalat Hotel', 'Thanh Do Hotel', 'TALA Dalat Hotel', 'ARTIS Hotel Da Lat', 'THIEN AN GUEST HOUSE', 'An An House - Homestay Da Lat', 'Belle Amour Hotel', 'Anh Quan Khoi Hotel', 'Tường Vy Dalat Central', ""The Morris Boutique Hotel 2 - O'TEL"", 'The Note Dalat', 'HOÀNG DIỆU DALAT', 'Dalat Eco Hotel', 'Carita Hotel', 'Silent Night Dem Lanh Hotel', 'Vanilla Dalat Hotel', 'Dalat Memory Inn', 'Lasol Boutique Hotel', 'Khách sạn Pine Hill Hotel Dalat', 'Hotel Phuong Nghi']"
2,"['DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'THIEN AN GUEST HOUSE', 'Dalat ECO Hotel 2', '688 Hotel Đà Lạt', 'Torino Hotel Dalat', 'Cattleya', 'Carita Hotel', 'Hanah Hotel Dalat', 'Dalat Luxury Hotel', 'Soda Hotel Đà Lạt', 'Lovely House', 'Đông Đức Hostel Đà Lạt', 'Tường Vy Dalat Central', 'Phuong Anh Hotel', 'Dalat Memory Inn', 'Marigold Hotel Dalat', 'Khách Sạn Lối Về Đà Lạt', 'Khách Sạn Mỹ Hằng', 'M Hotel Đà Lạt', 'Sam Ha Phuong Boutique Da Lat', 'Lasol Boutique Hotel', 'Phu Tho Da Lat Hotel', 'ARTIS Hotel Da Lat', 'Dalat Eco Hotel', ""The Morris Boutique Hotel 2 - O'TEL""]"
3,"['688 Hotel Đà Lạt', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Cattleya', 'Dalat Luxury Hotel', 'Torino Hotel Dalat', 'LE PHUONG Dalat', 'THIEN AN GUEST HOUSE', 'ARTIS Hotel Da Lat', 'Hanah Hotel Dalat', 'Thanh Hùng Dalat Hotel', 'AM Memory Central Hotel 2', 'Mia House Dalat', 'Đông Đức Hostel Đà Lạt', 'Tường Vy Dalat Central', 'Sunset Hill Dalat', 'H Flower Hotel Đà Lạt - An An Hotel cũ', 'Dalat Eco Hotel', 'Soda Hotel Đà Lạt', 'Pho Nui Hotel', 'Greenview City Hotel', 'Maxim Hotel', 'Dalat Memory Inn', 'My My House Đà Lạt', 'ALEX HOTEL Peony']"
4,"['Solare De Monte Hotel & Spa', ""H Hôtel L'Art Hanoi"", 'Eliana Signature Hanoi Hotel', 'Eliana Premio Hotel Hanoi', 'Hanoian Central Hotel & Spa', 'Hotel Omina Hanoi Travel', 'Hanoi Center Silk Hotel & Travel', 'Amira Hotel Hanoi', 'Hanoi Allure Hotel', 'Embrace Boutique Hanoi Hotel', 'Bonne Nuit Hotel & Spa Hanoi', 'La Renta Premier Hotel & Spa Hanoi', 'Hanoi Le Chateau Hotel & Spa', 'Elegance Premium Hotel', 'The Emissary Hanoi Hotel & Spa', 'Dong Xuan Boutique Hotel', 'Media Central Hotel & Spa', 'La Siesta Classic Hang Thung', 'TrangTrang Classy Hotel', 'Shining Central Hotel & Spa', 'The Embassy Hotel Hanoi', 'Golden Sail Hotel & Spa', 'The Q Boutique Hotel', 'Loom Hotel Hanoi', 'La Passion Hanoi Hotel & Spa']"
5,"['Moc Thach Hostel Dalat', 'Feliz Dalat Homestay', 'Gia Pham Hotel', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'The Green House Da Lat', 'Hanah Hotel Dalat', 'LE PHUONG Dalat', 'The Note Dalat', 'THIEN AN GUEST HOUSE', 'Minh Toàn Homestay', 'Thanh Hùng Dalat Hotel', 'Dalat Eco Hotel', 'Lavender Tim', 'May House Dalat', 'ALEX HOTEL Peony', 'Vanilla Dalat Hotel', 'HOÀNG DIỆU DALAT', 'ARTIS Hotel Da Lat', 'CozyNook Boutique Apartments - 3 thang 2 Street', 'Quang Minh Dalat Hotel', ""The Morris Boutique Hotel 2 - O'TEL"", 'Hostel Phuong Nga', 'Mia House Dalat', 'Lasol Boutique Hotel']"
6,"['M Hotel Đà Lạt', 'My My House Đà Lạt', 'Gia Nguyễn Hotel Dalat', 'Cattleya', 'Phuong Anh Hotel', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', '688 Hotel Đà Lạt', 'Dalat Memory Inn', 'Dalat ECO Hotel 2', 'Sunset Hill Dalat', 'Đông Đức Hostel Đà Lạt', 'Phan Home Đà Lạt', 'Torino Hotel Dalat', 'Dalat Luxury Hotel', 'Sam Ha Phuong Boutique Da Lat', 'AM Memory Central Hotel 2', 'Nhà Mìn', 'Soda Hotel Đà Lạt', 'ARTIS Hotel Da Lat', 'Mia House Dalat', 'K Little Hotel DaLat - Giá Rẻ Gần Trung Tâm', 'AN PHÚ Home', 'Lacami Dalat Hotel', 'Da Lat Lemongrass - Đà Lạt Sả', ""D'Mai Xanh Boutique Hotel Da Lat""]"
7,"['Dalat ECO Hotel 2', 'LE PHUONG Dalat', '688 Hotel Đà Lạt', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Torino Hotel Dalat', 'Hanah Hotel Dalat', 'ALEX HOTEL Peony', 'Cattleya', 'THIEN AN GUEST HOUSE', 'Thanh Hùng Dalat Hotel', 'Mia House Dalat', 'Dalat Luxury Hotel', 'Carita Hotel', 'ARTIS Hotel Da Lat', 'Thanh Do Hotel', 'Khách sạn Hải Hoa Đà Lạt', 'Soda Hotel Đà Lạt', 'M Hotel Đà Lạt', 'Đông Đức Hostel Đà Lạt', 'Thanh Thanh 5 Dalat Hotel - KS Gần Chợ Đêm Giá Rẻ', 'Dalat Eco Hotel', 'H Flower Hotel Đà Lạt - An An Hotel cũ', 'AM Memory Central Hotel 2', 'Bống Stay', 'Tường Vy Dalat Central']"
8,"['Dalat ECO Hotel 2', 'Marigold Hotel Dalat', 'Carita Hotel', 'Lasol Boutique Hotel', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Dalat Paradise Hotel', 'Đông Đức Hostel Đà Lạt', 'LE PHUONG Dalat', 'Dalat Luxury Hotel', 'Dalat Eco Hotel', 'Torino Hotel Dalat', 'Moc Tra Hotel', 'The Note Dalat', 'Dalat Memory Inn', '688 Hotel Đà Lạt', 'Mỹ Lan hotel', 'Thanh Do Hotel', 'Mia House Dalat', 'Hanah Hotel Dalat', 'THIEN AN GUEST HOUSE', 'Feliz Dalat Homestay', 'Cattleya', 'Dreamy Hotel Dalat', 'Tường Vy Dalat Central', 'Sunset Hill Dalat']"
9,"['Torino Hotel Dalat', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'The Note Dalat', 'Dan Chi Hotel', 'Gia Pham Hotel', 'Hostel-John Cafe and Beer', 'Tường Vy Dalat Central', 'Kim Oanh Orchids Hotel', 'LE PHUONG Dalat', 'Thanh Thanh 5 Dalat Hotel - KS Gần Chợ Đêm Giá Rẻ', 'THIEN AN GUEST HOUSE', 'ARTIS Hotel Da Lat', 'Dalat Eco Hotel', 'Casanova Dalat Hotel', 'ALEX HOTEL Peony', 'Vanilla Dalat Hotel', 'Nụ Cười Xinh', 'Greenview City Hotel', 'Thanh Do Hotel', 'Green Meadow Hotel - Peaceful Central', 'Carita Hotel', 'An An House - Homestay Da Lat', 'Dalat Memory Inn', 'Homestay HoLo']"
11,"['Aria Grand Hotel & Spa', 'HAIAN Beach Hotel & Spa', 'Danang Marriott Resort & Spa', 'Prince Hotel Da Nang', 'Muong Thanh Luxury Song Han Hotel', 'Adina hotel Đa Nang Beach', 'Taiyo Hotel & Apartment', 'Stella Maris Beach Danang', 'Avenis Hotel', 'Golden Lotus Grand Da Nang - Panoramic Rooftop Bar & Daily Afternoon Tea', 'ELC Luxury Hotel Danang - An Thuong Walking Street', 'Parosand Da Nang Hotel -Belle Maison Parosand Da Nang Hotel', 'Capecia Danang Hotel and Apartment', 'The Sail Hotel - My Khe Beach', 'Rosamia Da Nang Hotel', 'Leaf Beachfront Hotel Da Nang', 'PHUC LONG LUXURY Danang', 'Prague Da Nang Beach Hotel', 'The Dream Suite', 'Ritzy Boutique Hotel Da Nang Beach', 'Coral Cove Hotel', 'Paracel Beach Hotel', 'Golden Lotus Luxury Hotel Danang - Complimentary Daily Afternoon Tea', 'Golden Lotus Hotel Da Nang - Rooftop Bar Sea View', 'Lucia Beach Hotel']"
13,"['Golden Lotus Grand Da Nang - Panoramic Rooftop Bar & Daily Afternoon Tea', 'Stella Maris Beach Danang', 'M Hotel Danang', 'KOVA Diamond Hotel Da Nang', 'Maximilan Danang Beach Hotel', 'Capecia Danang Hotel and Apartment', 'Señorita Boutique Hotel', 'Balcona Hotel Da Nang', 'voco Ma Belle Danang by IHG', 'Sala Danang Beach Hotel', 'Leaf Beachfront Hotel Da Nang', 'ELC Luxury Hotel Danang - An Thuong Walking Street', 'Nesta Hotel Da Nang', 'Prague Da Nang Beach Hotel', 'Thè HEM Hotel and Apartment', 'The Sail Hotel - My Khe Beach', 'Le Sands Oceanfront Danang Hotel', 'Golden Lotus Hotel Da Nang - Rooftop Bar Sea View', 'Coral Cove Hotel', 'Ocean Bliss Hotel - Free Sauna', 'Lucia Beach Hotel', 'Sekong Hotel Da Nang', 'Estrella Boutique Hotel', 'Ritzy Boutique Hotel Da Nang Beach', 'Golden Rose Hotel']"
14,"['Cattleya', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', '688 Hotel Đà Lạt', 'Dalat ECO Hotel 2', 'Dalat Luxury Hotel', 'ARTIS Hotel Da Lat', 'Torino Hotel Dalat', 'THIEN AN GUEST HOUSE', 'Hanah Hotel Dalat', 'LE PHUONG Dalat', 'Mia House Dalat', 'Thanh Hùng Dalat Hotel', 'AM Memory Central Hotel 2', 'Đông Đức Hostel Đà Lạt', ""The Morris Boutique Hotel 2 - O'TEL"", 'Tường Vy Dalat Central', 'Dalat Eco Hotel', 'Lasol Boutique Hotel', 'Pho Nui Hotel', 'H Flower Hotel Đà Lạt - An An Hotel cũ', 'Soda Hotel Đà Lạt', 'Thanh Thao Dalat Hotel', 'ALEX HOTEL Peony', 'Maxim Hotel', 'Hotel Phạm Duy']"
15,"['688 Hotel Đà Lạt', 'Cattleya', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Dalat Luxury Hotel', 'Torino Hotel Dalat', 'ARTIS Hotel Da Lat', 'Hanah Hotel Dalat', 'THIEN AN GUEST HOUSE', 'Mia House Dalat', 'LE PHUONG Dalat', 'Thanh Hùng Dalat Hotel', 'Đông Đức Hostel Đà Lạt', 'AM Memory Central Hotel 2', 'Soda Hotel Đà Lạt', 'H Flower Hotel Đà Lạt - An An Hotel cũ', 'ALEX HOTEL Peony', 'Pho Nui Hotel', 'Tường Vy Dalat Central', 'Dalat Eco Hotel', 'HOÀNG DIỆU DALAT', 'Maxim Hotel', 'Marigold Hotel Dalat', 'TTG Hostel In Da Lat', 'Hotel Phạm Duy']"
16,"['Thanh Hùng Dalat Hotel', 'Dalat ECO Hotel 2', 'Hanah Hotel Dalat', 'LE PHUONG Dalat', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'ARTIS Hotel Da Lat', 'Mia House Dalat', 'Torino Hotel Dalat', '688 Hotel Đà Lạt', 'Dalat Luxury Hotel', 'Cattleya', 'HOÀNG DIỆU DALAT', 'ALEX HOTEL Peony', 'THIEN AN GUEST HOUSE', 'Feliz Dalat Homestay', 'Lumina Hotel Da Lat Central', 'Thanh Thao Dalat Hotel', 'Lasol Boutique Hotel', 'TALA Dalat Hotel', 'Thanh Do Hotel', 'Tường Vy Dalat Central', 'Hawaii Hotel Dalat', 'Dalat Eco Hotel', 'Lavender Tim', 'Pho Nui Hotel']"
18,"['Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Hanah Hotel Dalat', 'ARTIS Hotel Da Lat', 'LE PHUONG Dalat', 'Lasol Boutique Hotel', '688 Hotel Đà Lạt', 'Cattleya', 'THIEN AN GUEST HOUSE', 'Carita Hotel', 'Moc Tra Hotel', ""The Morris Boutique Hotel 2 - O'TEL"", 'Thanh Hùng Dalat Hotel', 'Torino Hotel Dalat', 'Dalat Luxury Hotel', 'Greenview City Hotel', 'TTG Hostel In Da Lat', 'Tường Vy Dalat Central', 'Dalat Eco Hotel', 'Pho Nui Hotel', 'Khách Sạn Lối Về Đà Lạt', 'Thanh Do Hotel', 'HOÀNG DIỆU DALAT', 'Phu Tho Da Lat Hotel', 'Diamond Hotel']"
19,"['Quang Minh Dalat Hotel', 'Dalat Luxury Hotel', 'November Villa Đà Lạt', 'Cattleya', 'Moc Tra Hotel', 'Nature Hotel Da Lat - Le Dai Hanh', '688 Hotel Đà Lạt', 'My My House Đà Lạt', 'Pho Nui Hotel', 'Hoang Minh Chau Ba Trieu Hotel', 'May House Dalat', 'Mia House Dalat', 'THIEN AN GUEST HOUSE', 'Vô Tư Luxury Hotel', 'Khách Sạn Lối Về Đà Lạt', 'Lavender Tim', 'Da Tuong Luxury Villa Hotel', 'Gia Hân Hotel', 'Phu Tho Da Lat Hotel', 'Homestay Dalat Xinh', 'AM Memory Central Hotel 2', 'KAT HOTEL - Bùi Thị Xuân', 'Diamond Hotel', 'Bee Luxury Dalat Hotel', 'Dalat Note Hostel']"
22,"['Torino Hotel Dalat', 'LE PHUONG Dalat', 'Thanh Hùng Dalat Hotel', 'Hanah Hotel Dalat', 'Dalat ECO Hotel 2', 'Tường Vy Dalat Central', 'HOÀNG DIỆU DALAT', 'Royal Dalat Hotel', '688 Hotel Đà Lạt', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'THIEN AN GUEST HOUSE', 'Thanh Do Hotel', 'Dalat Luxury Hotel', 'Cattleya', 'Nhà Sói Homestay Da Lat', 'ARTIS Hotel Da Lat', 'Maxim Hotel', 'Centro Hotel Da Lat', 'Silent Night Dem Lanh Hotel', 'Dalat Eco Hotel', 'Mia House Dalat', 'TTG Hostel In Da Lat', 'ALEX HOTEL Peony', 'Đông Đức Hostel Đà Lạt', 'Diamond Hotel']"
23,"['Dalat ECO Hotel 2', 'Lovely House', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Torino Hotel Dalat', 'Moc Thach Hostel Dalat', 'THIEN AN GUEST HOUSE', 'Cosy Hotel & Apartment Dalat', 'Feliz Dalat Homestay', 'Dalat Memory Inn', 'Pearl Wealth Dalat Hotel', 'Hanah Hotel Dalat', 'LE PHUONG Dalat', 'HOÀNG DIỆU DALAT', 'Dalat Eco Hotel', 'ALEX HOTEL Peony', 'Carita Hotel', 'Thanh Hùng Dalat Hotel', 'Vanilla Dalat Hotel', 'Tường Vy Dalat Central', 'ARTIS Hotel Da Lat', 'Thanh Do Hotel', 'Dalat Roof Hotel', 'Anh Quan Khoi Hotel', 'Hotel Làng Kò Hơ', 'Lasol Boutique Hotel']"
24,"['Phan Home Đà Lạt', 'PINE VIEW Hotel Dalat', 'Scenery Hotel DaLat', 'La Fleur Premium Central Apartment Hotel', 'Pretty Backpackers House', 'Bach Place Dalat', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', 'Phuong Anh Hotel', 'Lacami Dalat Hotel', 'Wisteria Hotel Dalat', 'Đông Đức Hostel Đà Lạt', 'Homestay Nhà Mộc', 'AM Memory Central Hotel 2', 'Tigon Flower House 2', 'Gia Pham Hotel', 'Marigold Hotel Dalat', 'Dalat Memory Inn', 'Strawberry Hotel Dalat', '688 Hotel Đà Lạt', 'Torino Hotel Dalat', 'The Brick Home dalat', 'Whammy House Dalat', ""D'Mai Xanh Boutique Hotel Da Lat"", 'Dalat Luxury Hotel']"
26,"['Torino Hotel Dalat', 'Dalat ECO Hotel 2', 'DALAT STREAM HOTEL-Khách sạn đẹp Đà Lạt', '688 Hotel Đà Lạt', 'Cattleya', 'LE PHUONG Dalat', 'Dalat Luxury Hotel', 'Lovely House', 'THIEN AN GUEST HOUSE', 'M Hotel Đà Lạt', 'Mia House Dalat', 'Casanova Dalat Hotel', 'The Note Dalat', 'Marigold Hotel Dalat', 'ARTIS Hotel Da Lat', 'ALEX HOTEL Peony', 'Thanh Hùng Dalat Hotel', ""The Morris Boutique Hotel 2 - O'TEL"", 'Thanh Do Hotel', 'Lacami Dalat Hotel', 'Sam Ha Phuong Boutique Da Lat', 'HOÀNG DIỆU DALAT', 'Khách Sạn Lối Về Đà Lạt', 'Hanah Hotel Dalat', 'Pho Nui Hotel']"
